"","time","value"
"298",2013-03-01 18:00:00,1518.25
"299",2013-03-01 18:01:00,1518
"300",2013-03-01 18:09:58,1516.5
"301",2013-03-01 18:10:00,1516.5
"302",2013-03-01 18:11:00,1517
"303",2013-03-01 18:19:00,1517
"304",2013-03-01 18:19:57,1516.75
"305",2013-03-01 18:29:59,1517
"306",2013-03-01 18:30:00,1517.25
"307",2013-03-01 18:31:00,1516.75
"308",2013-03-01 18:39:59,1516.5
"309",2013-03-01 18:40:00,1516.75
"310",2013-03-01 18:41:00,1516.75
"311",2013-03-01 18:49:59,1514.5
"312",2013-03-01 18:50:00,1514.5
"313",2013-03-01 18:51:00,1515
"314",2013-03-01 19:00:00,1516.25
"315",2013-03-01 19:00:00,1516
"316",2013-03-01 19:01:00,1516.75
"317",2013-03-01 19:10:00,1516.75
"318",2013-03-01 19:10:00,1517
"319",2013-03-01 19:11:00,1516.75
"320",2013-03-01 19:20:00,1518
"321",2013-03-01 19:20:00,1517.5
"322",2013-03-01 19:21:00,1517.75
"323",2013-03-01 19:30:00,1515.5
"324",2013-03-01 19:30:00,1515.75
"325",2013-03-01 19:31:00,1516
"326",2013-03-01 19:40:00,1515.75
"327",2013-03-01 19:41:00,1516.25
"328",2013-03-01 19:50:00,1514.5
"329",2013-03-01 19:50:01,1514.25
"330",2013-03-01 19:51:00,1514.75
"331",2013-03-01 20:00:00,1516.25
"332",2013-03-01 20:00:00,1516.25
"333",2013-03-01 20:01:00,1516
"334",2013-03-01 20:10:00,1517.25
"335",2013-03-01 20:20:00,1516
"336",2013-03-01 20:20:00,1516.25
"337",2013-03-01 20:30:00,1516
"338",2013-03-01 20:30:01,1515.5
"339",2013-03-01 20:31:00,1516.5
"340",2013-03-01 20:40:00,1516.5
"341",2013-03-01 20:40:01,1516.5
"342",2013-03-01 20:41:00,1515.75
"343",2013-03-01 20:50:00,1517.25
"344",2013-03-01 20:50:01,1517.5
"345",2013-03-01 20:51:00,1517.25
"346",2013-03-01 21:00:00,1516.25
"347",2013-03-01 21:00:01,1516.5
"348",2013-03-01 21:01:00,1517.5
"349",2013-03-01 21:10:00,1516.25
"350",2013-03-01 21:10:01,1516.25
"351",2013-03-01 21:11:00,1516.5
"352",2013-03-01 21:15:00,1516.75
"353",2013-03-01 21:15:00,1516.75
"354",2013-03-01 21:19:35,1516.75
"355",2013-03-01 21:29:30,1516.75
